term_a,term_b,count,npmi
ent,gis,19,0.37499210226440827
anesthesiologist,surgery,62,0.37484344217349946
referral,specialist,119,0.374726492229332
esophagus,trachea,25,0.37463593654193167
approve,nhs,31,0.3737192326413288
cover,united healthcare,13,0.3734128759470098
dosage,unit,12,0.37339884162332104
injection,office injection,19,0.3733383028678961
bad nausea,nausea,15,0.3732062895913756
50 unit,first dose,22,0.37287302479909357
acid,acid reflux,126,0.37284383443149227
alcohol,beer,102,0.3723596684318979
100 unit,80 unit,18,0.37203536178638325
diaphragm,muscular,11,0.37136014925820443
chest,pressure,206,0.3712965219876045
cpd sufferer,hiatal hernia,11,0.37119407299550716
jaw,tension,17,0.37117045537160154
drink,drink a fizzy,39,0.37035669243629854
laryngoscopy,manometry,12,0.3700276474094666
cough really,gag,14,0.3695899530107308
alcohol,whiskey,11,0.3695656385729779
dr bastian,post of doctor,14,0.369409275036752
cover,cover the cost,10,0.36902310908974956
breath test,test,14,0.3689955185018479
drink soda,soda,24,0.3688622461726946
chest and stomach,pressure,10,0.3685047959458209
esophagus,sphincter,92,0.36843293069016286
barium,test,27,0.36837215881880575
cover,network,34,0.36825577571736484
estimate,insurance,31,0.36784776891342924
map,provider,19,0.367768665226509
exercise,shaker exercise,150,0.3666426466733907
bloating and stomach,pain,11,0.3666069203067511
ga,in office procedure,39,0.36637548598040093
barium swallow,barium swallow test,15,0.36608070803628817
consultant,private,15,0.36603315192247365
anthem,cover,10,0.3657977494991835
cover by insurance,insurance,28,0.36562273642782345
famotidine,gaviscon,11,0.3655790132445622
approval,nhs,13,0.36535765903067835
gastro,gastroenterologist,24,0.36530558815502806
manometry test,test,26,0.36516363414450476
air vomit,start air vomit,13,0.36448622582002993
hiccup,painful hiccup,44,0.3644826470267886
seltzer,wine,11,0.36431448564834895
medicare,specialist,14,0.364248360842457
gerd,hiatal hernia,58,0.36389439524977385
cost,united healthcare,14,0.36348591797095847
core,diaphragm,16,0.3630731761153049
cricopharyngeus muscle,dysfunction,11,0.36296034614135647
cost,insurance coverage,13,0.36286780085489856
bill,fee,10,0.3628558337262749
alcohol,spirit,14,0.36269892690493666
ues,weaken,17,0.3624524439723187
reflux,silent reflux,49,0.36178065047059715
esophagus,peristalsis,17,0.36169649333172965
cover,doctor s office,12,0.361665796600868
cost,estimate,34,0.36148751377606775
enough pressure,pressure,15,0.3614815045580676
gerd,misdiagnosis,11,0.36137513850399555
antacid,famotidine,13,0.3609775986115511
low esophagus,ues,16,0.3608234802545216
file,insurance,18,0.36073473347175417
insurance,insurance cover,37,0.3604917293909351
esophageal cancer,esophagus,15,0.360359863540742
esophagus,les,109,0.3594880741675615
intense nausea,nausea,10,0.3586314230675638
cricopharyngeus muscle,muscle,41,0.35844415833484045
associate burp,vomit,15,0.3581518641574935
insurance,policy,13,0.3581368909603866
jaw,neck,59,0.35810284580446594
pressure,pressure build,19,0.3579998175311401
need to swallow,swallow,17,0.35780566111021744
lpr reflux,reflux,17,0.3577985874713828
clinic,family doctor,13,0.3576092039490662
drug,supplement,12,0.35719612620658936
acid med,reflux,10,0.3570086442165854
cover,medicaid,12,0.3569157704336255
cover,medical insurance,10,0.3566775723159798
cost,without insurance,17,0.3566095723164176
2nd round,round,14,0.3565184855788133
another ent,ent,13,0.3561387874623584
endometriosis,ibs,10,0.35583646982641554
burning sensation,chest,18,0.3557574290834913
office,receptionist,29,0.35571766055065174
drink,soda,204,0.3553727335751542
massage,neck,54,0.35528308783644874
cash pay,insurance,10,0.3552206480960946
antacid,tum,20,0.35499102834544155
primary,referral,26,0.354595779820013
approve,insurance,39,0.3545140649497214
50,75,36,0.3543757279638774
acid,reflux,120,0.35382415291544095
beer,cocktail,18,0.3537818672526432
swallow,try to swallow,36,0.3536431444284985
colonoscopy,endoscopy,21,0.3533697703353839
retrograde,ues,14,0.3531652303109635
cricopharyngeal muscle,dysfunction,11,0.3530365516916922
kaiser,referral,35,0.3528389187559725
diaphragm,tension,21,0.35282726589303387
reflux,reflux symptom,19,0.3528218119817488
push burp,regurgitation,18,0.352773971164442
cigna,cost,13,0.3525952833271269
blood test,test,32,0.3525571240526412
insurance,payment,17,0.35210229872893584
clinic,germany,14,0.3520140542939783
75,dosage,15,0.3516775216818448
chugg,soda,18,0.3515682806040771
acid,heartburn,56,0.35129193026440525
sphincter,ues,37,0.3503083303166923
chest,inhale burp,14,0.34999482973637847
cost,good insurance,14,0.34959712086285416
normal swallow,swallow,11,0.3493091231838154
gerd,lpr,17,0.34923240255065047
